Date,Account Creations,Active Users,Active Users Acct Creation On Or After Regwall,Active Users Acct Creation On Regwall,Active Users Purchase On Or After Paywall,Active Users Purchase On Or After Regwall,Basic Subscriber Active Users,Basic Subscriber DAU Per MAU,Basic Subscriber Minutes,Basic Subscriber Page Views,Basic Subscriber Total Users,DAU Per MAU,Digital Subscriber Active Users,Digital Subscriber DAU Per MAU,Digital Subscriber Minutes,Digital Subscriber Page Views,Digital Subscriber Total Users,Event Click Active Users,Event Clicks,Event Registration Click Active Users,Event Registration Clicks,Minutes,New Subscription Finishes,New Subscription Starts,Newsletter Signup Active Users,Newsletter Signups,Newsletter Unsubscribes,Non Registrant Active Users,Non Registrant DAU Per MAU,Non Registrant Minutes,Non Registrant Page Views,Non Registrant Total Users,Page Views,Paywall Active Users,Paywall Conversion Rate,Paywall Views,Print Subscriber Active Users,Print Subscriber DAU Per MAU,Print Subscriber Minutes,Print Subscriber Page Views,Print Subscriber Total Users,Purchase Active Users,Purchases,Registrant Active Users,Registrant DAU Per MAU,Registrant Minutes,Registrant Page Views,Registrant Total Users,Regwall Account Creations,Regwall Active Users,Regwall Conversion Rate,Regwall Purchases,Regwall Views,Site License Active Users,Site License By Domain Active Users,Site License By Domain DAU Per MAU,Site License By Domain Minutes,Site License By Domain Page Views,Site License By Domain Total Users,Site License By IP Active Users,Site License By IP DAU Per MAU,Site License By IP Minutes,Site License By IP Page Views,Site License By IP Total Users,Site License DAU Per MAU,Site License Minutes,Site License Page Views,Site License Total Users,Subscriber Active Users,Subscriber DAU Per MAU,Subscriber Minutes,Subscriber Page Views,Subscriber Total Users,Subscription Renewal Finishes,Subscription Renewal Starts,Total Users
2026-05-05,308,40643,229,229,4,2,167,0.227830832,46330,441,171,0.04815664,1403,0.209465512,325156,3686,1451,45,55,6,7,70783,17,1862,34,79,8,24356,0.035461623,393590,31752,24854,76864,448,0.008928571,653,547,0.201473297,108645,1506,567,15,15,2095,0.06675376,302705,4278,2219,306.0,16602,0.013669194,1.0,19606,15052,6994,0.166630929,1529771,16527,7179,8315,0.060604956,1539283,18102,8607,0.086264801,3069054,34629,15500,2117,0.210688694,480131,5633,2189,0,14,41723
2026-05-04,296,41834,220,220,2,5,172,0.238888889,46198,500,177,0.050256062,1356,0.20455574,334068,3900,1386,46,52,5,6,72117,15,1420,30,52,13,25534,0.037692567,415816,32566,26086,78257,428,0.004672897,654,542,0.202087994,118866,1468,547,18,19,2225,0.072186354,370960,4650,2355,289.0,18270,0.011929939,1.0,21300,14862,6547,0.158094272,1467004,15758,6737,8447,0.063981761,1572993,18823,8748,0.087928862,3039997,34581,15364,2069,0.208547525,499132,5868,2109,5,23,43008
2026-05-03,188,16357,128,128,3,1,39,0.055007052,6924,116,42,0.019854005,315,0.048106292,58745,820,339,11,11,1,1,12951,6,628,13,22,3,13410,0.01998194,184903,16427,13708,25192,125,0.024,220,124,0.046564026,20568,299,133,6,6,775,0.025443204,112948,1880,861,184.0,9166,0.014028935,0.0,10714,2361,1505,0.036670646,273782,3579,1614,868,0.006841703,118610,2014,957,0.014460621,392392,5593,2559,478,0.048582173,86237,1235,514,1,0,16948
2026-05-02,187,24041,133,133,1,2,40,0.056022409,9738,133,42,0.028883248,402,0.060844559,73502,1026,425,9,9,1,1,20897,8,1172,20,38,4,19906,0.029456332,262628,24059,20186,35484,172,0.005813953,265,158,0.058801638,29070,369,166,7,7,1199,0.039018517,194999,2457,1266,183.0,14761,0.008843085,0.0,17052,3317,2359,0.056805047,496154,4989,2476,970,0.007526848,187008,2351,1080,0.020034791,683162,7340,3544,600,0.060532688,112310,1528,633,1,7,24630
2026-05-01,304,40522,226,225,1,7,145,0.202797203,33358,352,154,0.048339861,1190,0.178732352,255509,2824,1223,44,46,2,2,61518,18,3043,37,71,5,27297,0.040284234,390158,34274,27816,69819,260,0.003846154,413,504,0.18556701,110796,1308,522,21,21,1936,0.062924562,326908,3989,2045,301.0,19349,0.011704993,3.0,22597,12329,6235,0.149241227,1401047,13653,6428,6332,0.047558603,1171683,12945,6640,0.072595698,2572730,26598,12804,1839,0.183697932,399663,4484,1899,4,12,41712
2026-04-30,310,33059,220,217,8,8,98,0.136111111,20927,293,106,0.039340169,1075,0.161169415,193799,2840,1122,110,115,7,7,42679,31,1695,41,65,11,20466,0.030273849,298683,25951,20909,57670,492,0.016260163,778,392,0.14380044,67881,1064,421,33,33,1486,0.048000517,149734,3434,1617,300.0,12643,0.017475574,4.0,14641,11158,4908,0.117161204,909848,10923,5123,6285,0.046531084,918383,12836,6652,0.064910209,1828231,23759,11694,1564,0.155854509,282607,4197,1648,7,20,34337
2026-04-29,372,40701,256,256,13,10,156,0.21253406,43660,417,158,0.04827358,1277,0.191626651,257916,3311,1317,39,51,6,7,63693,56,2193,32,49,5,24744,0.036562228,434100,31235,25239,70727,710,0.018309859,1089,503,0.183375866,101939,1277,521,64,64,1998,0.063764601,276339,4391,2119,357.0,17401,0.01480539,6.0,20019,14324,6468,0.153030805,1363490,13937,6692,8037,0.058504095,1342860,15654,8392,0.082005599,2706350,29591,14844,1936,0.19204444,403515,5005,1996,8,20,41983
2026-04-28,360,46861,256,253,13,13,184,0.25,46304,418,189,0.055616084,1454,0.21884407,303541,3616,1480,41,47,5,6,76151,35,1798,55,86,6,28218,0.041731924,477502,36199,28689,83819,966,0.013457557,1437,596,0.217438891,125663,1714,614,38,38,2487,0.079365586,296011,5127,2613,353.0,21109,0.012193379,6.0,24346,17279,7910,0.187002057,1652708,17110,8092,9489,0.068604769,1665784,18938,9828,0.098555238,3318492,36048,17823,2234,0.222089671,475508,5748,2283,6,21,48063
2026-04-27,348,53477,244,237,11,19,194,0.268326418,51465,473,198,0.06517643,1470,0.224805016,351666,3806,1493,20,22,3,3,94056,43,3020,35,62,12,33613,0.050862974,540418,42974,34128,94674,1181,0.009314141,1794,567,0.21054586,130756,1564,580,44,46,2910,0.094214394,403423,5850,3033,335.0,24653,0.00978505,13.0,28939,18807,8902,0.214402697,2186998,18978,9077,10069,0.076363609,1977029,20208,10365,0.11146342,4164027,39186,19281,2231,0.225490196,533887,5843,2271,5,18,54551
2026-04-26,210,14356,122,120,5,4,34,0.047619048,4740,94,37,0.017973961,273,0.042246982,57588,952,297,6,6,2,2,14278,13,1104,16,36,18,11359,0.017551314,208400,14425,11695,23801,192,0.02688172,317,116,0.043592634,20237,353,127,12,13,745,0.024527556,111203,1878,828,200.0,6522,0.017901687,2.0,7621,2437,1501,0.037032468,300897,3489,1621,946,0.00752897,152668,2563,1062,0.015052595,453565,6052,2673,423,0.04323827,82565,1399,461,3,10,15069
